'2025-01-0623:31:25.903694','14','37','Ethernet','0','0'
'2025-01-0623:31:25.903694','14','37','Подключениеполокальнойсети*9','0','0'
'2025-01-0623:31:25.903694','14','37','Подключениеполокальнойсети*10','0','0'
'2025-01-0623:31:25.903694','14','37','Беспроводнаясеть','507','765'
'2025-01-0623:31:25.903694','14','37','СетевоеподключениеBluetooth','0','0'
'2025-01-0623:31:25.903694','14','37','LoopbackPseudo-Interface1','0','0'
'2025-01-0623:31:28.926478','9','37','Ethernet','0','0'
'2025-01-0623:31:28.926478','9','37','Подключениеполокальнойсети*9','0','0'
'2025-01-0623:31:28.926478','9','37','Подключениеполокальнойсети*10','0','0'
'2025-01-0623:31:28.926478','9','37','Беспроводнаясеть','398','171'
'2025-01-0623:31:28.926478','9','37','СетевоеподключениеBluetooth','0','0'
'2025-01-0623:31:28.926478','9','37','LoopbackPseudo-Interface1','0','0'
'2025-01-0623:31:31.952065','14','37','Ethernet','0','0'
'2025-01-0623:31:31.952065','14','37','Подключениеполокальнойсети*9','0','0'
'2025-01-0623:31:31.952065','14','37','Подключениеполокальнойсети*10','0','0'
'2025-01-0623:31:31.952065','14','37','Беспроводнаясеть','98','207'
'2025-01-0623:31:31.952065','14','37','СетевоеподключениеBluetooth','0','0'
'2025-01-0623:31:31.952065','14','37','LoopbackPseudo-Interface1','0','0'
'2025-01-0623:31:34.972685','11','37','Ethernet','0','0'
'2025-01-0623:31:34.972685','11','37','Подключениеполокальнойсети*9','0','0'
'2025-01-0623:31:34.972685','11','37','Подключениеполокальнойсети*10','0','0'
'2025-01-0623:31:34.972685','11','37','Беспроводнаясеть','2359','1082'
'2025-01-0623:31:34.972685','11','37','СетевоеподключениеBluetooth','0','0'
'2025-01-0623:31:34.972685','11','37','LoopbackPseudo-Interface1','0','0'
'2025-01-0623:31:37.997857','13','37','Ethernet','0','0'
'2025-01-0623:31:37.997857','13','37','Подключениеполокальнойсети*9','0','0'
'2025-01-0623:31:37.997857','13','37','Подключениеполокальнойсети*10','0','0'
'2025-01-0623:31:37.997857','13','37','Беспроводнаясеть','18','104'
'2025-01-0623:31:37.997857','13','37','СетевоеподключениеBluetooth','0','0'
'2025-01-0623:31:37.997857','13','37','LoopbackPseudo-Interface1','0','0'
'2025-01-0623:31:41.036274','8','37','Ethernet','0','0'
'2025-01-0623:31:41.036274','8','37','Подключениеполокальнойсети*9','0','0'
'2025-01-0623:31:41.036274','8','37','Подключениеполокальнойсети*10','0','0'
'2025-01-0623:31:41.036274','8','37','Беспроводнаясеть','399','325'
'2025-01-0623:31:41.036274','8','37','СетевоеподключениеBluetooth','0','0'
'2025-01-0623:31:41.036274','8','37','LoopbackPseudo-Interface1','0','0'
'2025-01-0623:31:44.059674','16','37','Ethernet','0','0'
'2025-01-0623:31:44.059674','16','37','Подключениеполокальнойсети*9','0','0'
'2025-01-0623:31:44.059674','16','37','Подключениеполокальнойсети*10','0','0'
'2025-01-0623:31:44.059674','16','37','Беспроводнаясеть','309','2638'
'2025-01-0623:31:44.059674','16','37','СетевоеподключениеBluetooth','0','0'
'2025-01-0623:31:44.059674','16','37','LoopbackPseudo-Interface1','0','0'
'2025-01-0623:31:47.087664','11','37','Ethernet','0','0'
'2025-01-0623:31:47.087664','11','37','Подключениеполокальнойсети*9','0','0'
'2025-01-0623:31:47.087664','11','37','Подключениеполокальнойсети*10','0','0'
'2025-01-0623:31:47.087664','11','37','Беспроводнаясеть','45','199'
'2025-01-0623:31:47.087664','11','37','СетевоеподключениеBluetooth','0','0'
'2025-01-0623:31:47.087664','11','37','LoopbackPseudo-Interface1','0','0'
'2025-01-0623:31:50.102677','9','37','Ethernet','0','0'
'2025-01-0623:31:50.102677','9','37','Подключениеполокальнойсети*9','0','0'
'2025-01-0623:31:50.102677','9','37','Подключениеполокальнойсети*10','0','0'
'2025-01-0623:31:50.102677','9','37','Беспроводнаясеть','1612','592'
'2025-01-0623:31:50.102677','9','37','СетевоеподключениеBluetooth','0','0'
'2025-01-0623:31:50.102677','9','37','LoopbackPseudo-Interface1','0','0'
'2025-01-0623:31:53.139025','11','37','Ethernet','0','0'
'2025-01-0623:31:53.139025','11','37','Подключениеполокальнойсети*9','0','0'
'2025-01-0623:31:53.139025','11','37','Подключениеполокальнойсети*10','0','0'
'2025-01-0623:31:53.139025','11','37','Беспроводнаясеть','0','0'
'2025-01-0623:31:53.139025','11','37','СетевоеподключениеBluetooth','0','0'
'2025-01-0623:31:53.139025','11','37','LoopbackPseudo-Interface1','0','0'
'2025-01-0623:31:56.162010','13','37','Ethernet','0','0'
'2025-01-0623:31:56.162010','13','37','Подключениеполокальнойсети*9','0','0'
'2025-01-0623:31:56.162010','13','37','Подключениеполокальнойсети*10','0','0'
'2025-01-0623:31:56.162010','13','37','Беспроводнаясеть','1462','559'
'2025-01-0623:31:56.162010','13','37','СетевоеподключениеBluetooth','0','0'
'2025-01-0623:31:56.162010','13','37','LoopbackPseudo-Interface1','0','0'
'2025-01-0623:31:59.181579','11','37','Ethernet','0','0'
'2025-01-0623:31:59.181579','11','37','Подключениеполокальнойсети*9','0','0'
'2025-01-0623:31:59.181579','11','37','Подключениеполокальнойсети*10','0','0'
'2025-01-0623:31:59.181579','11','37','Беспроводнаясеть','398','189'
'2025-01-0623:31:59.181579','11','37','СетевоеподключениеBluetooth','0','0'
'2025-01-0623:31:59.181579','11','37','LoopbackPseudo-Interface1','0','0'
'2025-01-0623:32:02.198702','17','37','Ethernet','0','0'
'2025-01-0623:32:02.198702','17','37','Подключениеполокальнойсети*9','0','0'
